feature,importance
HasMortgage_Yes,0.11319946
MaritalStatus_Married,0.08816417
HasDependents_Yes,0.07225909
Education_Master's,0.058810204
HasCoSigner_Yes,0.057064738
HasCoSigner_No,0.053362843
Education_PhD,0.051192913
HasDependents_No,0.04999351
MaritalStatus_Single,0.043763313
LoanPurpose_Home,0.043495595
EmploymentType_Self-employed,0.040454082
EmploymentType_Full-time,0.040043037
HasMortgage_No,0.0308736
EmploymentType_Part-time,0.028312428
LoanPurpose_Business,0.02714073
Education_High School,0.026275707
Education_Bachelor's,0.025721826
EmploymentType_Unemployed,0.023996731
LoanPurpose_Other,0.022255247
MaritalStatus_Divorced,0.022212392
LoanPurpose_Education,0.02212081
LoanPurpose_Auto,0.01807266
NumCreditLines,0.013869573
Age,0.008284344
LoanTerm,0.0065112174
Loan_to_Income,0.0047284258
MonthsEmployed,0.0036345948
CreditScore,0.0011604872
EMI_to_Income,0.0010752411
DTIRatio,0.0008905167
Income,0.00041232884
LoanAmount,0.00039107495
Credit_per_Line,0.0002571155
