,mean_abs_shap
Age,0.4528293
HasDependents_No,0.2744137
MonthsEmployed,0.25137386
Loan_to_Income,0.24266365
HasCoSigner_No,0.21302344
HasMortgage_No,0.20287247
HasDependents_Yes,0.1589337
NumCreditLines,0.14885028
MaritalStatus_Married,0.13636847
HasMortgage_Yes,0.13294509
EmploymentType_Full-time,0.12787506
Education_Master's,0.109570466
HasCoSigner_Yes,0.10294396
CreditScore,0.095369875
LoanPurpose_Home,0.094601646
Education_PhD,0.08765869
EmploymentType_Self-employed,0.0845582
MaritalStatus_Single,0.077153146
MaritalStatus_Divorced,0.07381837
EmploymentType_Unemployed,0.06609315
EmploymentType_Part-time,0.06443032
Education_Bachelor's,0.05786329
LoanTerm,0.05764109
Education_High School,0.056479003
DTIRatio,0.053150896
LoanPurpose_Business,0.052729934
LoanPurpose_Other,0.05027501
LoanPurpose_Education,0.049945243
LoanPurpose_Auto,0.043013737
EMI_to_Income,0.0351382
LoanAmount,0.018133156
Income,0.012596088
Credit_per_Line,0.0038668301
